Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Isaac Paredes,TB,3B,24,20,67,10,14,1,0,3,11,0,0,3,16,0,0,4,0.209,0.284,0.358,0.642
Cal Raleigh,SEA,C,26,19,67,8,15,5,0,2,12,0,0,8,22,0,0,0,0.224,0.307,0.388,0.695
Oswaldo Cabrera,NYY,OF,24,19,67,5,15,3,0,1,6,4,0,2,19,0,1,0,0.224,0.243,0.313,0.556
Jon Berti,MIA,2B,33,21,67,9,15,3,0,2,7,4,0,4,13,1,1,0,0.224,0.264,0.358,0.622
Brandon Drury,LAA,3B,30,20,67,5,12,3,0,1,5,0,1,2,23,0,2,1,0.179,0.208,0.269,0.477
Jean Segura,MIA,2B,33,19,67,6,13,1,0,0,1,2,1,3,13,1,0,0,0.194,0.229,0.209,0.438
Tyler O'Neill,STL,OF,27,20,67,10,17,3,0,2,5,1,0,5,24,0,0,0,0.254,0.306,0.388,0.694
Elias Diaz,COL,C,32,21,66,7,22,5,0,2,11,0,0,4,15,0,0,1,0.333,0.38,0.5,0.88
Brandon Marsh,PHI,OF,25,21,66,14,24,6,4,4,13,1,0,11,22,0,0,0,0.364,0.455,0.758,1.213
Masataka Yoshida,BOS,OF,29,17,65,11,15,2,0,3,15,2,0,8,9,0,1,2,0.231,0.329,0.4,0.729
J.D. Davis,SF,3B,29,19,65,7,19,2,0,4,13,0,0,3,19,0,1,2,0.292,0.338,0.508,0.846
Josh Naylor,CLE,1B,25,19,65,4,12,0,0,2,9,1,0,8,12,0,2,0,0.185,0.267,0.277,0.544
DJ LeMahieu,NYY,3B,34,18,64,12,18,6,1,2,8,0,1,6,20,0,0,2,0.281,0.361,0.5,0.861
Yasmani Grandal,CWS,C,34,19,64,6,18,7,0,2,7,0,0,7,17,0,0,1,0.281,0.361,0.484,0.845
Spencer Steer,CIN,3B,25,19,64,9,18,4,0,2,7,1,0,10,17,0,1,1,0.281,0.382,0.438,0.82
Shea Langeliers,OAK,DH,25,19,64,9,15,2,0,4,10,0,0,4,19,0,0,3,0.234,0.31,0.453,0.763
Brice Turang,MIL,SS,23,21,64,8,15,1,0,2,9,3,1,5,21,0,0,0,0.234,0.29,0.344,0.634
Alek Thomas,ARI,OF,22,21,64,9,12,3,1,2,6,2,1,5,12,0,0,1,0.188,0.257,0.359,0.616
Joey Wiemer,MIL,OF,24,21,64,7,14,4,0,1,5,3,1,9,15,0,0,0,0.219,0.315,0.328,0.643
Ji Hwan Bae,PIT,OF,23,21,63,11,13,2,0,2,8,5,1,5,19,1,0,1,0.206,0.275,0.333,0.608
Wilmer Flores,SF,3B,31,18,63,10,18,3,0,3,7,0,0,4,10,0,0,0,0.286,0.328,0.476,0.804
Brandon Lowe,TB,2B,28,19,63,17,16,1,0,6,15,1,0,11,21,0,0,0,0.254,0.365,0.556,0.921
J.P. Crawford,SEA,SS,28,22,63,13,15,6,0,0,3,0,0,15,17,1,0,0,0.238,0.385,0.333,0.718
Victor Robles,WAS,OF,25,20,62,8,18,3,1,0,5,3,0,6,10,3,0,2,0.29,0.371,0.371,0.742
Jason Vosler,CIN,3B,29,20,62,6,10,2,1,3,10,0,0,3,25,0,0,0,0.161,0.2,0.371,0.571
Triston Casas,BOS,1B,23,21,62,9,8,3,0,2,7,0,0,13,23,0,1,0,0.129,0.276,0.274,0.55
Nick Maton,DET,OF,26,19,62,6,8,2,0,3,9,0,0,9,18,0,0,0,0.129,0.239,0.306,0.545
Kyle Isbel,KC,OF,26,17,61,5,11,5,0,0,5,2,0,2,14,0,0,1,0.18,0.219,0.262,0.481
Miguel Vargas,LAD,1B,23,21,61,9,13,3,1,0,4,0,0,14,16,0,1,1,0.213,0.364,0.295,0.659
William Contreras,MIL,C,25,17,61,4,19,4,0,0,4,0,0,8,12,0,0,0,0.311,0.391,0.377,0.768
Jake Fraley,CIN,OF,27,20,61,5,12,2,0,1,10,3,1,11,15,0,1,0,0.197,0.315,0.279,0.594
Adam Frazier,BAL,2B,31,21,61,12,13,3,0,2,8,3,1,8,9,0,0,0,0.213,0.304,0.361,0.665
Brandon Crawford,SF,SS,36,17,61,5,10,1,0,3,9,2,0,7,19,0,0,0,0.164,0.25,0.328,0.578
Kevin Kiermaier,TOR,OF,33,18,61,7,18,3,1,1,6,1,0,2,15,1,0,0,0.295,0.317,0.426,0.743
Sean Murphy,ATL,C,28,18,60,12,15,7,0,5,15,0,0,15,18,0,0,2,0.25,0.416,0.617,1.033
David Villar,SF,3B,26,19,60,9,10,3,0,3,10,1,1,8,23,0,1,2,0.167,0.282,0.367,0.649
Gunnar Henderson,BAL,3B,21,19,60,13,11,3,0,1,3,1,0,15,26,0,0,1,0.183,0.355,0.283,0.638
Alec Burleson,STL,OF,24,17,60,7,16,4,1,2,7,0,0,4,9,0,0,1,0.267,0.323,0.467,0.79
Oscar Colas,CWS,OF,24,20,60,7,14,1,0,1,6,2,1,5,16,1,0,1,0.233,0.303,0.3,0.603
Jake McCarthy,ARI,OF,25,21,60,8,9,1,1,1,3,2,1,4,11,0,0,2,0.15,0.227,0.25,0.477
Matt Vierling,DET,OF,26,17,60,5,14,3,0,1,4,2,3,4,18,0,0,0,0.233,0.281,0.333,0.614
Alex Call,WAS,OF,28,19,60,10,12,1,0,1,9,1,2,11,14,0,2,1,0.2,0.324,0.267,0.591
Gabriel Moreno,ARI,C,23,18,59,3,17,4,0,1,12,0,0,1,13,0,1,0,0.288,0.295,0.407,0.702
Edward Olivares,KC,OF,27,17,59,5,14,1,1,1,5,1,0,2,14,0,0,1,0.237,0.274,0.339,0.613
Harold Ramirez,TB,OF,28,17,59,11,22,3,1,5,10,0,0,4,10,0,0,1,0.373,0.422,0.712,1.134
Manuel Margot,TB,OF,28,20,58,7,11,2,0,2,6,2,1,3,10,0,2,1,0.19,0.234,0.328,0.562
Luis Rengifo,LAA,2B,26,19,58,10,11,1,0,1,6,1,1,10,16,0,0,1,0.19,0.319,0.259,0.578
Whit Merrifield,TOR,2B,34,16,58,7,18,5,0,0,7,2,1,4,12,0,2,1,0.31,0.354,0.397,0.751
Jesus Aguilar,OAK,1B,32,18,58,3,14,2,0,2,5,0,0,4,16,0,1,1,0.241,0.297,0.379,0.676
Luis Garcia,WAS,2B,22,16,58,5,13,1,0,2,7,0,1,4,7,0,1,0,0.224,0.27,0.345,0.615
Garrett Mitchell,MIL,OF,24,16,58,9,15,1,1,3,6,1,0,4,24,0,0,0,0.259,0.306,0.466,0.772
Rodolfo Castro,PIT,2B,23,22,58,7,15,3,0,2,8,0,0,8,18,0,0,3,0.259,0.377,0.414,0.791
Kolten Wong,SEA,2B,32,18,57,8,8,0,0,0,3,0,1,6,14,0,1,1,0.14,0.231,0.14,0.371
Eddie Rosario,ATL,OF,31,18,57,5,10,3,0,1,1,0,0,2,16,0,0,0,0.175,0.203,0.281,0.484
Jace Peterson,OAK,3B,32,19,57,5,11,2,0,1,7,2,0,9,16,0,1,0,0.193,0.299,0.281,0.58
Donovan Solano,MIN,2B,35,18,56,5,16,4,0,0,3,0,0,3,12,0,0,3,0.286,0.355,0.357,0.712
Connor Joe,PIT,OF,30,18,56,13,20,6,2,2,8,1,1,8,13,0,0,2,0.357,0.455,0.643,1.098
Michael Massey,KC,2B,25,18,56,3,8,1,0,0,4,1,0,0,22,0,2,0,0.143,0.138,0.161,0.299
Kerry Carpenter,DET,OF,25,16,55,6,12,4,0,3,5,0,0,5,15,0,0,1,0.218,0.295,0.455,0.75
Josh Lowe,TB,OF,25,16,55,12,19,7,0,4,15,4,0,4,9,0,0,0,0.345,0.39,0.691,1.081
Corey Julks,HOU,OF,27,16,55,10,18,3,0,2,7,0,2,1,18,0,1,0,0.327,0.333,0.491,0.824
Ramon Laureano,OAK,OF,28,15,55,5,12,4,1,2,4,2,0,5,16,0,0,1,0.218,0.295,0.436,0.731
Oscar Gonzalez,CLE,OF,25,18,55,5,10,1,1,1,3,0,0,2,12,0,0,0,0.182,0.211,0.291,0.502
Avisail Garcia,MIA,OF,31,17,55,5,9,1,0,2,5,1,0,2,18,0,0,1,0.164,0.207,0.291,0.498
Eduardo Escobar,NYM,3B,34,16,55,6,8,2,0,2,8,0,0,3,14,1,1,0,0.145,0.186,0.291,0.477
Eric Hosmer,CHC,1B,33,18,54,6,13,3,0,1,11,0,0,5,11,0,0,0,0.241,0.305,0.352,0.657
Jake Cave,PHI,OF,30,17,54,3,10,2,0,1,7,3,0,6,13,0,1,0,0.185,0.262,0.278,0.54
Ramon Urias,BAL,3B,28,17,54,7,12,4,0,1,7,0,0,5,19,0,0,4,0.222,0.333,0.352,0.685
Jonah Heim,TEX,C,27,16,54,12,17,3,0,4,16,0,0,8,12,0,1,1,0.315,0.406,0.593,0.999
Christian Arroyo,BOS,2B,27,18,53,5,10,3,0,0,3,1,0,2,13,1,0,0,0.189,0.218,0.245,0.463
Michael Conforto,SF,OF,30,17,53,12,11,0,0,4,9,1,0,11,21,0,0,1,0.208,0.354,0.434,0.788
Eloy Jimenez,CWS,OF,26,14,53,6,11,3,0,2,7,0,0,5,18,0,0,0,0.208,0.276,0.377,0.653
Austin Nola,SD,C,33,17,53,0,7,2,0,0,2,0,0,7,17,0,0,0,0.132,0.233,0.17,0.403
Robbie Grossman,TEX,OF,33,17,53,9,11,1,0,2,10,0,0,7,15,0,2,1,0.208,0.302,0.34,0.642
Jose Barrero,CIN,SS,25,19,53,7,13,2,0,1,9,2,2,7,15,0,1,0,0.245,0.328,0.34,0.668
Logan O'Hoppe,LAA,C,23,16,53,5,15,2,0,4,13,0,0,4,15,0,1,1,0.283,0.339,0.547,0.886
Giancarlo Stanton,NYY,OF,33,13,52,7,14,3,0,4,11,0,0,2,11,0,0,0,0.269,0.296,0.558,0.854
Nelson Cruz,SD,DH,42,15,51,5,13,3,0,2,12,0,0,1,18,0,1,1,0.255,0.278,0.431,0.709
Yan Gomes,CHC,C,35,13,51,8,13,0,0,4,9,1,0,1,7,0,1,0,0.255,0.264,0.49,0.754
Marcell Ozuna,ATL,OF,32,16,51,3,4,1,0,2,2,0,0,7,15,0,0,0,0.078,0.19,0.216,0.406
LaMonte Wade,SF,OF,29,19,51,6,11,2,0,2,4,1,0,16,15,1,0,3,0.216,0.429,0.373,0.802
Elehuris Montero,COL,3B,24,16,51,7,13,3,0,1,5,0,0,2,21,0,0,1,0.255,0.296,0.373,0.669
Ryan Noda,OAK,1B,27,20,50,9,10,1,0,2,2,1,1,14,22,0,0,0,0.2,0.375,0.34,0.715
Jorge Mateo,BAL,SS,27,17,50,14,18,4,0,3,12,8,1,5,10,2,2,1,0.36,0.414,0.62,1.034
Martin Maldonado,HOU,C,36,16,50,4,8,1,0,1,3,0,0,5,15,1,0,0,0.16,0.236,0.24,0.476
Alejandro Kirk,TOR,C,24,17,49,5,12,1,0,1,9,0,0,11,10,0,1,1,0.245,0.387,0.327,0.714
Luke Raley,TB,OF,28,17,48,5,9,2,0,4,9,0,1,4,19,0,1,2,0.188,0.273,0.479,0.752
David Peralta,LAD,OF,35,20,48,3,10,1,0,1,6,0,1,2,10,0,1,0,0.208,0.235,0.292,0.527
Eric Haase,DET,C,30,15,48,1,12,2,0,0,3,1,0,3,13,0,0,0,0.25,0.294,0.292,0.586
Jesse Winker,MIL,OF,29,14,48,6,11,3,0,0,9,0,0,4,10,0,1,3,0.229,0.321,0.292,0.613
Hunter Dozier,KC,3B,31,15,48,4,9,0,0,1,5,1,0,1,17,0,0,0,0.188,0.204,0.25,0.454
Nick Gordon,MIN,OF,27,18,48,6,5,2,0,0,0,0,0,1,4,0,0,0,0.104,0.122,0.146,0.268
Connor Wong,BOS,C,26,18,47,6,9,4,0,0,6,0,0,3,13,0,0,1,0.191,0.255,0.277,0.532
Tim Anderson,CWS,SS,29,11,47,9,14,5,0,0,4,5,0,2,10,0,0,0,0.298,0.327,0.404,0.731
Christian Vazquez,MIN,C,32,15,47,6,14,3,0,0,4,0,0,6,13,0,0,0,0.298,0.377,0.362,0.739
Conner Capel,OAK,OF,25,19,47,3,14,3,0,0,3,4,2,4,17,0,0,0,0.298,0.353,0.362,0.715
Jack Suwinski,PIT,OF,24,16,47,7,12,3,0,5,12,2,0,11,17,0,2,0,0.255,0.383,0.638,1.021
Jake Meyers,HOU,OF,26,18,47,5,13,2,0,1,6,0,1,5,14,0,0,0,0.277,0.346,0.383,0.729
Anthony Rendon,LAA,3B,32,14,46,6,10,1,0,0,9,0,0,9,6,0,3,1,0.217,0.339,0.239,0.578
Brandon Belt,TOR,1B,35,13,46,3,8,4,0,1,5,0,0,4,23,0,0,0,0.174,0.24,0.326,0.566
Nick Ahmed,ARI,SS,33,14,46,5,14,3,0,1,7,3,0,0,8,0,0,0,0.304,0.304,0.435,0.739
Orlando Arcia,ATL,2B,28,13,45,10,15,2,0,2,7,0,0,4,10,0,0,1,0.333,0.4,0.511,0.911
Chris Taylor,LAD,OF,32,16,45,6,5,0,0,4,7,1,0,5,21,0,1,0,0.111,0.196,0.378,0.574
Kevin Newman,CIN,SS,29,14,45,5,9,1,0,2,7,0,0,1,8,0,1,1,0.2,0.229,0.356,0.585
Geraldo Perdomo,ARI,SS,23,17,45,11,16,5,1,1,11,1,0,5,12,2,0,1,0.356,0.431,0.578,1.009
David Hensley,HOU,DH,27,15,45,7,7,0,0,0,2,1,0,7,17,0,0,0,0.156,0.269,0.156,0.425
Will Brennan,CLE,OF,25,18,44,6,11,4,0,0,8,1,0,3,7,0,1,1,0.25,0.306,0.341,0.647
Blake Sabol,SF,C,25,15,44,4,9,0,0,3,6,1,0,1,20,0,0,2,0.205,0.255,0.409,0.664
Dylan Carlson,STL,OF,24,15,44,5,9,3,0,0,3,1,0,3,11,0,0,0,0.205,0.255,0.273,0.528
Brent Rooker,OAK,OF,28,15,44,6,14,1,0,4,11,0,0,8,9,0,1,0,0.318,0.415,0.614,1.029
Jose Trevino,NYY,C,30,13,44,4,9,2,0,1,7,0,0,2,8,0,0,0,0.205,0.239,0.318,0.557
Mike Zunino,CLE,C,32,15,44,6,11,6,0,1,4,0,0,10,19,0,0,1,0.25,0.4,0.455,0.855
Christian Bethancourt,TB,C,31,13,44,10,12,4,0,4,7,0,0,5,12,0,0,0,0.273,0.347,0.636,0.983
Franchy Cordero,NYY,OF,28,14,43,6,8,1,0,4,11,0,0,2,13,0,0,0,0.186,0.222,0.488,0.71
Franmil Reyes,KC,DH,27,14,42,5,11,0,0,2,6,0,0,4,18,0,1,0,0.262,0.319,0.405,0.724
Rob Refsnyder,BOS,OF,32,17,42,7,9,1,0,1,8,0,0,8,11,0,0,1,0.214,0.353,0.31,0.663
Matt Carpenter,SD,DH,37,18,42,5,10,4,0,3,13,0,0,9,14,0,1,1,0.238,0.377,0.548,0.925
Nicky Lopez,KC,SS,28,19,42,5,7,3,1,0,5,1,0,7,10,1,0,2,0.167,0.314,0.286,0.6
Taylor Walls,TB,SS,26,14,42,16,14,3,1,3,8,2,0,7,8,0,0,1,0.333,0.44,0.667,1.107
Kevin Smith,OAK,3B,26,13,41,3,7,1,0,0,2,1,0,0,16,1,0,0,0.171,0.171,0.195,0.366
Nick Madrigal,CHC,2B,26,16,41,5,12,2,1,0,4,2,2,2,2,0,0,0,0.293,0.326,0.39,0.716
Tomas Nido,NYM,C,29,14,41,4,5,0,0,0,1,0,0,2,13,0,1,0,0.122,0.159,0.122,0.281
Edmundo Sosa,PHI,SS,27,16,41,2,13,3,0,2,6,0,1,1,14,0,1,1,0.317,0.341,0.537,0.878
Yu Chang,BOS,3B,27,16,41,5,6,0,0,3,8,1,0,1,11,1,0,1,0.146,0.186,0.366,0.552
Sam Hilliard,ATL,OF,29,16,41,8,13,4,0,1,2,3,0,6,20,0,0,0,0.317,0.404,0.488,0.892
Danny Jansen,TOR,C,28,14,40,2,6,1,0,1,8,0,0,5,10,0,0,0,0.15,0.244,0.25,0.494
Tommy Pham,NYM,OF,35,17,40,3,9,1,0,2,7,2,0,6,8,0,1,0,0.225,0.319,0.4,0.719
Daniel Vogelbach,NYM,DH,30,17,40,5,10,2,0,1,8,0,0,11,10,0,0,0,0.25,0.412,0.375,0.787
Max Kepler,MIN,OF,30,12,40,5,7,3,0,2,4,0,0,2,9,0,1,2,0.175,0.244,0.4,0.644
Chas McCormick,HOU,OF,28,11,40,7,11,3,0,2,9,4,0,6,12,1,0,1,0.275,0.383,0.5,0.883
Nick Fortes,MIA,C,26,14,39,3,7,0,0,1,3,0,0,2,12,0,0,0,0.179,0.22,0.256,0.476
Zach McKinstry,DET,2B,27,15,39,6,10,3,0,2,4,2,1,3,12,1,0,0,0.256,0.31,0.487,0.797
Will Smith,LAD,C,28,11,39,9,13,3,0,3,12,0,0,7,4,0,2,0,0.333,0.417,0.641,1.058
Jake Burger,CWS,3B,27,14,39,6,9,3,0,5,10,0,0,5,16,0,1,1,0.231,0.326,0.692,1.018
Travis Jankowski,TEX,OF,31,15,39,9,13,3,1,0,5,3,1,6,7,0,0,0,0.333,0.422,0.462,0.884
Jason Heyward,LAD,OF,33,17,39,7,7,1,0,3,5,0,0,6,9,0,1,0,0.179,0.283,0.436,0.719
Josh Harrison,PHI,2B,35,16,39,4,9,1,0,1,5,0,0,1,9,0,0,2,0.231,0.286,0.333,0.619
AJ Pollock,SEA,OF,35,13,39,2,5,2,0,2,8,0,0,3,12,0,1,0,0.128,0.186,0.333,0.519
Corey Seager,TEX,SS,28,11,39,7,14,4,0,1,4,0,0,9,7,0,1,0,0.359,0.469,0.538,1.007
Yoan Moncada,CWS,3B,27,9,39,4,12,4,0,2,5,0,0,1,10,0,0,0,0.308,0.325,0.564,0.889
Luis Guillorme,NYM,2B,28,16,38,7,10,1,0,0,2,0,0,7,7,0,0,0,0.263,0.378,0.289,0.667
Jake Lamb,LAA,OF,32,13,38,3,8,1,0,0,2,0,0,3,10,0,0,0,0.211,0.268,0.237,0.505
Evan Longoria,ARI,3B,37,12,38,7,10,2,0,2,4,0,0,3,9,0,1,0,0.263,0.31,0.474,0.784
Kevin Pillar,ATL,OF,34,12,38,3,8,1,0,1,3,0,0,2,12,0,0,0,0.211,0.25,0.316,0.566
Harold Castro,COL,2B,29,15,38,3,6,0,0,0,5,0,0,0,8,0,2,0,0.158,0.15,0.158,0.308
Alan Trejo,COL,SS,26,17,38,2,9,3,0,0,3,0,0,1,9,1,0,0,0.237,0.256,0.316,0.572
Ezequiel Duran,TEX,3B,23,14,38,4,10,2,0,1,6,0,1,1,12,0,0,0,0.263,0.282,0.395,0.677
Josh Smith,TEX,OF,25,18,37,8,6,0,0,0,0,0,0,8,14,1,0,6,0.162,0.392,0.162,0.554
